version,window,train,validation,test
1.0,10.0,0.7355371900826446,0.5558659217877095,0.5184135977337111
1.0,20.0,0.9566508313539193,0.4827586206896552,0.5451895043731778
1.0,30.0,0.9313022700119474,0.5236686390532544,0.5105105105105106
1.0,40.0,0.9477163461538461,0.4969512195121951,0.5882352941176471
1.0,50.0,0.9522370012091899,0.4748427672955975,0.5814696485623003
1.0,60.0,0.9355231143552312,0.4772727272727273,0.49834983498349833
2.0,10.0,0.7337662337662337,0.5586592178770949,0.5354107648725213
2.0,20.0,0.9566508313539193,0.46839080459770116,0.5247813411078717
2.0,30.0,0.9563918757467145,0.4911242603550296,0.4744744744744745
2.0,40.0,0.9543269230769231,0.5152439024390244,0.5386996904024768
2.0,50.0,0.9474002418379686,0.5849056603773585,0.5399361022364217
2.0,60.0,0.927007299270073,0.5487012987012987,0.5346534653465347
3.0,10.0,0.7337662337662337,0.5418994413407822,0.5070821529745042
3.0,20.0,0.9637767220902613,0.47701149425287354,0.49854227405247814
3.0,30.0,0.9540023894862605,0.5473372781065089,0.5285285285285285
3.0,40.0,0.9459134615384616,0.4847560975609756,0.5232198142414861
3.0,50.0,0.9607013301088271,0.5125786163522013,0.5207667731629393
3.0,60.0,0.9610705596107056,0.487012987012987,0.48184818481848185
4.0,10.0,0.7337662337662337,0.5363128491620112,0.5155807365439093
4.0,20.0,0.9471496437054632,0.5114942528735632,0.4956268221574344
4.0,30.0,0.9611708482676224,0.4911242603550296,0.5345345345345346
4.0,40.0,0.9591346153846154,0.524390243902439,0.541795665634675
4.0,50.0,0.9564691656590084,0.48742138364779874,0.549520766773163
4.0,60.0,0.9555961070559611,0.4967532467532468,0.46204620462046203
